epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,38156.8,1.45222,0.66588,1.13734,0.36931,0.34469,0.35067,0.18781,2.31279,3.72189,1.51762,0.0002278,0.0002278,0.0002278
80,38713.3,1.44205,0.66309,1.12994,0.36618,0.34658,0.35058,0.18962,2.32228,3.78315,1.52449,0.0002179,0.0002179,0.0002179
81,39218.5,1.44257,0.66352,1.13501,0.37354,0.34308,0.35213,0.18962,2.3179,3.76131,1.51972,0.000208,0.000208,0.000208
82,39664.5,1.44047,0.65779,1.13158,0.36582,0.34287,0.3448,0.18288,2.32431,3.8132,1.51287,0.0001981,0.0001981,0.0001981
83,40245.8,1.43138,0.65769,1.12853,0.37465,0.33642,0.3487,0.1831,2.32927,3.85918,1.51531,0.0001882,0.0001882,0.0001882
84,40904.2,1.43358,0.65441,1.12773,0.36978,0.3391,0.34814,0.18376,2.33797,3.79887,1.51858,0.0001783,0.0001783,0.0001783
85,41455.1,1.43394,0.65388,1.12752,0.37062,0.34417,0.35105,0.18478,2.34259,3.7731,1.53254,0.0001684,0.0001684,0.0001684
86,42056.3,1.42685,0.64661,1.12141,0.37231,0.34377,0.35115,0.1893,2.33099,3.82585,1.53588,0.0001585,0.0001585,0.0001585
87,42616,1.42482,0.64503,1.11987,0.36506,0.34771,0.35002,0.18828,2.3236,3.81296,1.53195,0.0001486,0.0001486,0.0001486
88,43171.8,1.42084,0.64461,1.1182,0.36769,0.34724,0.35011,0.18798,2.331,3.80111,1.53428,0.0001387,0.0001387,0.0001387
89,43629.4,1.40962,0.64043,1.11764,0.35675,0.34522,0.34973,0.18808,2.34047,3.84579,1.54426,0.0001288,0.0001288,0.0001288
90,44070.1,1.41326,0.64214,1.11685,0.36412,0.34776,0.35094,0.18774,2.31863,3.833,1.52376,0.0001189,0.0001189,0.0001189
91,44513.2,1.40324,0.6182,1.14737,0.35656,0.34193,0.34343,0.18393,2.3395,3.82736,1.51687,0.000109,0.000109,0.000109
92,45055.3,1.38206,0.60207,1.14076,0.34984,0.34221,0.34214,0.1829,2.32996,3.81035,1.51058,9.91e-05,9.91e-05,9.91e-05
93,45481.5,1.38034,0.59584,1.13679,0.34726,0.3443,0.34317,0.18176,2.31892,3.83536,1.50351,8.92e-05,8.92e-05,8.92e-05
94,45928.1,1.37014,0.59328,1.1333,0.35281,0.34473,0.3425,0.1805,2.3152,3.85193,1.50326,7.93e-05,7.93e-05,7.93e-05
95,46339.6,1.36765,0.58943,1.1274,0.35428,0.34326,0.34071,0.18161,2.32727,3.84139,1.5135,6.94e-05,6.94e-05,6.94e-05
96,46749.8,1.36604,0.59327,1.12872,0.35064,0.34299,0.34001,0.18161,2.33422,3.84366,1.51919,5.95e-05,5.95e-05,5.95e-05
97,47140.4,1.36681,0.59005,1.12923,0.3501,0.34403,0.34186,0.18194,2.33773,3.82337,1.52031,4.96e-05,4.96e-05,4.96e-05
98,47609.8,1.36074,0.58472,1.12404,0.3524,0.34507,0.34335,0.18192,2.33492,3.8213,1.51933,3.97e-05,3.97e-05,3.97e-05
99,47993.5,1.35791,0.58218,1.12293,0.35321,0.34498,0.34402,0.18235,2.33529,3.82056,1.52126,2.98e-05,2.98e-05,2.98e-05
100,48410.9,1.35789,0.58343,1.12545,0.35556,0.34566,0.3443,0.18262,2.3382,3.82643,1.52523,1.99e-05,1.99e-05,1.99e-05
